actor,movie_or_TV_name
Alejandro Ruiz,"Narcos: Mexico,Un Dia Para Vivir,Somos.,Como dice el dicho,Loving Pablo,Mi adorable maldición,Amazonas,Road to Destiny,La rosa de Guadalupe,Lo imperdonable,Until the End of Time,Por siempre mi amor,Qué bonito amor,Valiant Love,Timeless Love,Soy tu dueña,Mañana es para siempre,Don't Mess with an Angel,Mujer, casos de la vida real,Amor sin maquillaje,Yo amo a Juan Querendón,Mundo de fieras,Amar sin límites,La fea más bella,La esposa virgen,La madrastra,Misión S.O.S. aventura y amor,My Love, My Sin,Te amaré en silencio,¡Vivan los niños!,The Outsider,El noveno mandamiento,Carita de ángel,A Christmas Carol,El niño que vino del mar,La usurpadora,Doble fondo,El provinciano,Esmeralda,El brazo mortal,La antorcha encendida,Imperio de cristal,Fray Valentino II,Las aventuras de Fray Valentino,El vuelo del águila,Hades, vida despues de la muerte,S.I.D.A., síndrome de muerte,Valentina,Odio, amor y muerte,Capricho,Su herencia era matar,El chupes,Cabaret de frontera,Atrapada,El silla de ruedas,Este vampiro es un tiro,Invitación a morir,Nacidos para morir,Hembras de tierra caliente,Acapulco Dreaming,Crimen en presidio,Cuna de campeones,Emboscada,Los demonios del desierto,Más corazón que odio,Odio en la sangre,El fugitivo de Sonora,Juan Nadie,La diosa del puerto,Un rostro en mi pasado,Encadenados,Los camaroneros,Senda de gloria,De pura sangre,Tú o nadie,We Are Basically Normal 2"
Juan Daniel García Treviño,"Wetiko,Adolfo,Northern Skies Over Empty Space,Robe of Gems,Narcos: Mexico,La Civil,I'm No Longer Here"
Arnulfo Reyes Sanchez,"God Is a Bullet,The Jesuit,Narcos: Mexico,Un Dia Para Vivir,Campeona Sin Corona,Año Cero El Exilio,El Clásico,Enemigo Íntimo,Karlita, la femme fatale,Como Caído Del Cielo,Placa de Acero,C.I.A.,No Manches Frida 2,Club de Cuervos,Por la Máscara,Por la Máscara: La Serie Web,Ni Tú Ni Yo,Sin miedo a la verdad,Cometa: Him, His Dog and Their World,El Vato,Su nombre era Dolores, la Jenn que yo conocí,Blue Demon,Yo no soy guerrillero,Hasta Que Te Conocí,Dios Inc.,Find a Boyfriend for My Wife... PLEASE!,La querida del Centauro,Purasangre,Máscaras,Las Aparicio,Ladronas de Almas,El Señor de los Cielos,Dos días de suerte,Hilda,Camelia La Texana,Dame tus ojos,Supermisil,Demon Inside,Fortuna,Tlatelolco, Verano de 68,Corre Sin Mirar Atrás,Huellita,Mujeres maras,Ritmo, traición y muerte: La cumbia asesina,Pacientes,El Buchon,Estado de Gracia,Soul Walker,Aquí entre nos,Contratiempo,Ladies Mafia,El encanto del águila,El Bukanas,Tequila,Libera tu Alma,Al Acecho del Leopardo,Drenaje Profundo,Los Minondo,De este mundo,Entre el amor y el deseo,The Black Panther,Cephalopod,Depositarios,Vidas robadas,Estrella de plata,Vil: Los efectos de las causas,René,Locked Up Abroad,El otro Diego,Mientras haya vida,Marina,Lucía,Una causa noble,Se suicido un asesino,7 fugas del capitán fantasma,La Alacrana"
Mariel Molino,"Garage Daze,Die Like A Man,Promised Land,Lux Noctis,Narcos: Mexico,La Negociadora,Crazy for Change,El Candidato,El juego de las llaves,Luis Miguel: The Series,Papis muy padres,El Vato,Entre Correr y Vivir,Quarter Life Coach,Tremen2,Glee"
Hans Obma,"A Doll's House,Of Service,Liability,Narcos: Mexico,Grace and Frankie,WandaVision,The Summer Day,Better Call Saul,Muddy Waters,The Resident,Family,NCIS: New Orleans,Get Shorty,TURN: Washington's Spies,Rekindled,Independence Day: Resurgence,Phone it in,Hotwire,Triangular,Our Hopeful Journey,The Arroyo,Aftermath,The Vampire Diaries,The Superman,Switched at Birth,Youthful Daze,Criminal Minds,2 Jacks,The Ally,The Debuttered,General Hospital,Writer's Block,Into the Red,Turning Point, Graf Zeppelin"
Matthew Jones,"Bosch: Legacy,Oyakodon,Dot,Manifest,Yellowstone,Insight,Punching and Stealing,Brooklyn Nine-Nine,Narcos: Mexico,Ad Astra,Station 19,NCIS,American Housewife,9-1-1,You Can't Fight Christmas,Bones,Crazy Ex-Girlfriend,The Thundermans,Pull Away,Code Black,Brown Paper,NCIS: New Orleans,Fresh Off the Boat,It's Always Sunny in Philadelphia,The Fosters,Elwood,Intelligence,The Goldbergs,Ironside,Incredible Crew,Legit,Scandal,Criminal Minds,Causality,Choke.Kick.Girl: The Series,Up All Night,CSI: Miami,Gigantic,The Cape,No Clean Break,NCIS: Los Angeles,Lie to Me,The Grind,The Young and the Restless,The Forgotten,Desperate Housewives,Prison Break,Eleventh Hour,Break,General Hospital,Choke.Kick.Girl.,American Heiress,Without a Trace,24,The Closer,According to Jim,Bound by Lies,I'm with Her,George Lopez,Threat Matrix,Malcolm in the Middle,5150,Boomtown,Crossing Jordan,ER,The District"
Danielle Coyne,"The Mover,The Devil's Fire,Narcos: Mexico,Bad Apples,Sharia,Daredevil Leaked Auditions,Infernal,The Forge: Subject Aries,Haunting of the Innocent,American Backwoods: Slew Hampshire,Murphy,TeleviSean,The Blackout,Viewers Like You,The Wanted,The Idle Quest,Eating Out: Drama Camp,Blue Movies"
Scott Thomas Reynolds,"Bird Running,Daring,Narcos: Mexico,The Call of the Wild,2nd Chance for Christmas,Back to the 80's,Crossing,Shortcomings,Dick Dickster,Deadly Shores,Minutes to Midnight,Witness Unprotected,The Mick,A Tale of Two Coreys,Father of the Groomsmen,Framed by My Fiancé,Superhero Showtime,Deadly Vows,The Tribes of Palos Verdes,Circus Kane,Broken Slinky Presents,The Twin,Unwanted Guest,Sniper: Special Ops,Fortune Cookie,Non-Stop to Comic-Con,The Christmas Gift,A Christmas Reunion,3-Headed Shark Attack,The Dog Who Saved Summer,Eyewitness,Arthur,CSI: Crime Scene Investigation,A Perfect Christmas List,The Customer Is Always Right,A Christmas Mystery,Christmas in Palm Springs,Vox Influx,The Toy Soldiers,Finders Keepers,Issues,Mercenaries,Sharknado 2: The Second One,Sh*tty Dates,I'm Dating a Mermaid,Hipstapocalypse,FailCast with Ben Giroux,Devil May Call,Prey for Love,All I Want for Christmas,My Santa,Snow Bride,Match Made in Hell,Cleaners,Killer Reality,Hidden Away,Summoned,Christmas Twister,A Christmas Wedding Date,Jersey Shore Shark Attack,Hatfields and McCoys: Bad Blood,Celestial Guard,Collision Course,Magazine Money"
Alonso Gálvez,"Narcos: Mexico,Si nos dejan,Monarca,Esta historia me suena,La Doña,Enemigo Íntimo,El Cesar,La rosa de Guadalupe"
Raúl Galeana,"Narcos: Mexico,Hidrometeoro,ZeroZeroZero,La rosa de Guadalupe,Como dice el dicho"
